Step,Agent_ID,Agent_Type,Neighbor_0,Neighbor_1,Neighbor_2,Neighbor_3,Neighbor_4,Neighbor_5,Neighbor_6,Neighbor_7,Happy
0,0,1,1,1,0,1,1,1,1,0,1
0,1,1,1,0,1,1,1,1,0,1,1
0,2,1,0,1,1,1,0,0,1,0,1
0,3,2,1,0,1,0,2,0,2,2,1
0,4,2,0,1,2,2,1,2,2,1,1
0,5,1,1,2,2,2,1,2,1,1,1
0,6,1,2,2,1,1,0,1,1,1,1
0,7,1,1,1,1,0,1,1,1,1,1
0,8,1,1,1,1,1,0,1,0,0,1
0,9,1,1,1,0,0,0,0,1,1,1
0,10,2,0,2,2,0,2,1,2,0,1
0,11,2,2,2,1,2,1,2,0,2,1
0,12,1,2,1,1,2,1,0,2,2,1
0,13,1,1,1,0,1,1,2,2,1,1
0,14,1,1,0,1,1,1,2,1,1,1
0,15,1,0,1,1,1,1,1,1,0,1
0,16,1,0,1,0,0,1,1,2,2,1
0,17,1,1,0,2,1,2,2,2,1,1
0,18,2,0,2,2,1,0,2,1,1,1
0,19,2,2,1,1,0,2,1,1,0,0
0,20,2,1,1,1,0,1,1,0,1,0
0,21,1,1,1,1,0,1,0,1,1,1
0,22,1,1,1,1,1,0,1,1,1,1
0,23,1,1,0,0,1,1,0,1,2,1
0,24,1,0,0,1,1,2,1,2,0,1
0,25,2,0,1,1,1,2,2,0,0,0
0,26,2,1,1,2,0,1,0,0,2,0
0,27,1,1,2,0,0,1,0,2,1,1
0,28,1,2,0,0,1,1,2,1,1,1
0,29,1,0,0,0,1,0,1,1,1,1
0,30,1,0,1,1,0,1,1,1,2,1
0,31,1,1,1,0,1,1,1,2,1,1
0,32,1,1,1,1,2,2,0,1,0,1
0,33,2,1,1,0,1,0,1,0,2,0
0,34,2,0,1,1,0,1,1,1,1,0
0,35,1,1,1,1,0,1,1,1,0,1
0,36,1,1,1,0,1,1,1,0,1,1
0,37,1,1,0,1,1,1,0,1,1,1
0,38,1,0,1,1,1,2,1,1,0,1
0,39,1,2,1,0,0,0,1,2,1,1
0,40,1,2,0,0,2,1,1,0,2,0
0,41,1,0,0,1,0,1,0,2,1,1
0,42,1,0,1,1,1,0,2,1,1,1
0,43,1,1,1,1,0,1,1,1,1,1
0,44,1,1,1,2,1,0,1,1,1,1
0,45,1,1,0,2,2,1,1,1,2,1
